DEBUG:2023-01-14 17:30:16,209:modification du fichier de résolution
WARNING:2023-01-14 17:30:16,426:Descente d'un niveau
DEBUG:2023-01-14 17:30:16,426:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:30:16,427:Affichage du niveau
DEBUG:2023-01-14 17:30:16,430:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:30:16,430:Vérification des conditions de blocage
DEBUG:2023-01-14 17:30:16,430:modification du fichier de résolution
WARNING:2023-01-14 17:30:16,669:Descente d'un niveau
DEBUG:2023-01-14 17:30:16,669:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:30:16,670:Affichage du niveau
DEBUG:2023-01-14 17:30:16,670:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:30:16,670:Vérification des conditions de blocage
DEBUG:2023-01-14 17:30:16,670:modification du fichier de résolution
WARNING:2023-01-14 17:30:16,933:Descente d'un niveau
DEBUG:2023-01-14 17:30:16,934:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:30:16,934:Affichage du niveau
DEBUG:2023-01-14 17:30:16,935:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:30:16,935:Vérification des conditions de blocage
DEBUG:2023-01-14 17:30:16,935:modification du fichier de résolution
WARNING:2023-01-14 17:30:17,364:Descente d'un niveau
DEBUG:2023-01-14 17:30:17,364:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:30:17,365:Affichage du niveau
DEBUG:2023-01-14 17:30:17,365:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:30:17,365:Vérification des conditions de blocage
DEBUG:2023-01-14 17:30:17,365:modification du fichier de résolution
WARNING:2023-01-14 17:30:17,797:Descente d'un niveau
DEBUG:2023-01-14 17:30:17,797:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:30:17,797:Affichage du niveau
DEBUG:2023-01-14 17:30:17,798:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:30:17,798:Vérification des conditions de blocage
DEBUG:2023-01-14 17:30:17,798:modification du fichier de résolution
WARNING:2023-01-14 17:30:18,305:Descente d'un niveau
DEBUG:2023-01-14 17:30:18,305:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:30:18,305:Affichage du niveau
DEBUG:2023-01-14 17:30:18,306:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:30:18,306:Vérification des conditions de blocage
DEBUG:2023-01-14 17:30:18,306:modification du fichier de résolution
WARNING:2023-01-14 17:30:18,605:Descente d'un niveau
WARNING:2023-01-14 17:30:18,849:Descente d'un niveau
WARNING:2023-01-14 17:30:19,086:Descente d'un niveau
WARNING:2023-01-14 17:30:19,316:Descente d'un niveau
WARNING:2023-01-14 17:40:11,292:Retour au niveau 1
WARNING:2023-01-14 17:40:11,983:Avancée au dernier niveau
DEBUG:2023-01-14 17:40:11,983:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:40:11,984:Affichage du niveau
DEBUG:2023-01-14 17:40:11,985:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:40:11,985:Vérification des conditions de blocage
DEBUG:2023-01-14 17:40:11,985:modification du fichier de résolution
WARNING:2023-01-14 17:40:12,723:Descente d'un niveau
DEBUG:2023-01-14 17:40:12,723:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:40:12,724:Affichage du niveau
DEBUG:2023-01-14 17:40:12,726:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:40:12,726:Vérification des conditions de blocage
DEBUG:2023-01-14 17:40:12,726:modification du fichier de résolution
WARNING:2023-01-14 17:40:13,327:Retour au niveau 1
DEBUG:2023-01-14 17:40:13,327:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:40:13,328:Affichage du niveau
DEBUG:2023-01-14 17:40:13,328:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:40:13,328:Vérification des conditions de blocage
DEBUG:2023-01-14 17:40:13,329:modification du fichier de résolution
WARNING:2023-01-14 17:41:09,375:Annulation du dernier coup
DEBUG:2023-01-14 17:41:09,375:Remise en place des ancienne coordonnées de la dernière boule jouée
DEBUG:2023-01-14 17:41:09,375:Affichage du niveau
DEBUG:2023-01-14 17:41:09,376:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:09,377:Vérification des conditions de blocage
WARNING:2023-01-14 17:41:10,510:Annulation du dernier coup
DEBUG:2023-01-14 17:41:10,510:Remise en place des ancienne coordonnées de la dernière boule jouée
DEBUG:2023-01-14 17:41:10,511:Affichage du niveau
DEBUG:2023-01-14 17:41:10,511:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:10,511:Vérification des conditions de blocage
WARNING:2023-01-14 17:41:10,801:Annulation du dernier coup
DEBUG:2023-01-14 17:41:10,802:Remise en place des ancienne coordonnées de la dernière boule jouée
DEBUG:2023-01-14 17:41:10,802:Affichage du niveau
DEBUG:2023-01-14 17:41:10,803:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:10,803:Vérification des conditions de blocage
WARNING:2023-01-14 17:41:11,032:Annulation du dernier coup
DEBUG:2023-01-14 17:41:11,033:Remise en place des ancienne coordonnées de la dernière boule jouée
DEBUG:2023-01-14 17:41:11,033:Affichage du niveau
DEBUG:2023-01-14 17:41:11,034:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:11,034:Vérification des conditions de blocage
DEBUG:2023-01-14 17:41:12,373:Affichage du niveau
DEBUG:2023-01-14 17:41:12,373:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:12,373:Vérification des conditions de blocage
DEBUG:2023-01-14 17:41:13,374:Affichage du niveau
DEBUG:2023-01-14 17:41:13,374:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:13,374:Vérification des conditions de blocage
WARNING:2023-01-14 17:41:14,695:Annulation du dernier coup
DEBUG:2023-01-14 17:41:14,696:Remise en place des ancienne coordonnées de la dernière boule jouée
DEBUG:2023-01-14 17:41:14,696:Affichage du niveau
DEBUG:2023-01-14 17:41:14,697:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:14,697:Vérification des conditions de blocage
